Persona,Lv.,Arcana,Types,Drain,Reflect,Null,Resist,Evade 1,Evade 2,Evade 3,Weak,Type,Stat Bonuses,Natural Skill,Active Abilities,Passive Abilities,Disposition,Reward,STR,MAG,TEC,AGI,VIT,LCK,Pg.,Compendium?
Sati,19,Magician,"Fire, Intel",,,"Fire, PSY",,,,,Ice,Shadow,"+3 MAG, +2 TEC, +1 LCK","Selfless Sacrifice – Once per day, you may enter Death’s Door to restore all Death’s Door counters to all allies. If any of your allies has at least 3 counters before this spell is activated, they’re revived with 1 HP. ","Trafuri: Sati can move up to 2d6 targets from their original positions to any other unoccupied points within 20 meters. Can be cast as an Interrupt action. 
Cerberus’ Wrath: Up to 3 targets within 7 meters. On hit: 11d8 (49) Fire damage. 
Dazzle (Intel): 1 target suffers -1 HDC for its next action. 
Cloak of Shadows (Intel): 1 target gains +1 DDC for the next attack. ",,"Snobbish, Childish",Fire Ward (T5 Defense),1,11,8,6,3,8,C-289,FALSE
Siegfried,19,Strength,"Physical, Buff, Debuff",,,Physical,Ice,,,,Intel,Shadow,"+8 Courage, +8 Discipline, +4 Knowledge, +4 Charm","Dragon’s Blood – Once per week, you may gain Null <Type> against one Type of your choice for 3 turns. This is not a Buff effect.  ","Primal Strength: All targets between Siegfried and one target within 8 meters. On hit: 8d8 (36) Physical damage and Knockdown. 
Victorious Roar (Debuff): Any number of targets Siegfried can see suffer Fortify Physical and Elements -24 for 3 rounds.  ","Auto-Matarukajyne (P): At the start of combat, Siegfried and all its allies gain +4 STR, +4 MAG for 3 rounds. ","Friendly, Aggressive",Power Charge+ (T3 Misc.),8,1,7,7,8,4,C-282,FALSE
Sraosha,19,Justice,"Physical, Light, Thunder",Thunder,"Light, Nuclear",,,,,,Dark,Shadow,"+1 STR, +2 MAG, +1 TEC, +4 Knowledge, +4 Expression ",Observer – You gain double the stated points when interacting with Confidants.  ,"Judgement’s Saber: 1 target within 6 meters. On hit: 7d8 (31) Physical damage. 
Thunder Reign: 1 target within 10 meters. On hit: 8d10 (44) Thunder damage and 100% Shocked chance. 
Divine Decree: 1 target loses 50+2TEC% (64%) of its current HP, Light damage. ","Angel’s Grace (P): Sraosha has DDC+1 against all attacks except Almighty. 
Light’s Vanguard: (P): Can cast Judgement’s Saber without spending its Interrupt action every time a target is inflicted with a Status effect.  ","Snobbish, Friendly",Light Sanctuary (T5 Defense),7,8,7,5,5,2,C-283,FALSE
Yoshitsune,19,Chariot,"Physical, Buff",,,,,,,,,Shadow,"+2 STR, +2 TEC, +2 LCK","Peerless Swordsman – If you roll a 1 or a 2 while attempting a Critical Hit, you don’t spend a Luck Charge for this attack.  ","Charge: Yoshitsune’s next attack deals double damage, ignores Resist and treats Null, Drain and Reflect as Resist. 
Hassou Tobi! Up to 1d6 targets within 8 meters. Total Critical Margin: +2. Attacks each target three times. On hit: 11d8/2 (24) Physical damage. After casting this spell, Yoshitsune suffers Fortify All -24 until the end of its next turn. 
Monofilament Blade: Any number of targets. Attacks each target twice. Total Critical Margin: +3. On hit: 11d6/2 (19) Physical damage. ","Lingchi (P): This Shadow can roll Critical hits without spending Luck Charges.
Relentless Advance (P): All attacks cast by Yoshitsune gain Critical Margin +2","Aggressive, Friendly",Heavenly Blade (T5 Phys.),11,1,8,5,7,2,C-289,FALSE
Cosmic Buddha Vairocana,19,Sun,"Fire, Almighty, Heal",,"Fire, Light",,,,,,,Shadow,???,"Radiant Mantra – (Quick, once per combat) Target one unit you can see: Decrease the duration of a Buff or Debuff on that target by 1 round, then choose: (1) Decrease the duration of all Debuffs on all Users by 1 round. (2) Increase the duration of all Buffs on all Users by 1 round. If the targeted unit was a User, that User is unaffected by the chosen effect. ","Annihilating Rain of Stars: Any number of targets within 5 meters. On hit: 10d8 (45) Almighty damage and -3 TEC, -3 AGI for 3 rounds (this is a Debuff effect) 
White Lotus Flame: One target Vairocana can see. The target is moved to a position adjacent to Vairocana, if possible and with no dodge check. Then, on hit: 10d12+MAG (75) Fire damage. 
Path of Prominence: Vairocana recovers up to 50% (190) of its maximum HP, then Vairocana selects one target it can see: Double the intensity and remaining duration of one Debuff effect active on that target. ",,Noble,Megidola (T5 Almighty),1,10,9,1,10,4,SSVIII-16,FALSE
Alice,20,Death,Dark,,Dark,,Intel,,,,,Ultimate,"+3 MAG, +1 TEC, +2 AGI","Die for Me! Spend 1 Aspect Point before taking damage that would drop you to 0 or less HP to transfer this damage, as Almighty, to an ally, with or without their consent. ","Mad Tea Party: Any number of targets. Instantly kills targets below 60+2TEC% (76%) HP. If this spell kills at least one target, Alice can no longer use it. 
Black Viper: 1 target within 10 meters. On hit: 12d12+12 (90) Almighty damage. 
Doors to Hades: 1 target within 5 meters and all adjacent targets. On hit: 12d8 (54) Almighty damage. Alice can sacrifice Nebiros or Belial to cast Mudoon against up to two hit targets as a free action: 
Mudoon: Instantly kills a target below 30+3TEC% (54%) HP ","Loyal Servants (P): At the start of combat, Alice summons Belial (Lv. 19) and Nebiros (Lv. 16). Their iniative values are equal to Alice’s -1 and -2, respectively.  ","Childish, Devilish",Die for Me! (T5 Dark),1,12,8,10,2,2,C-290,FALSE
Beelzebub,20,Devil,"Status, Buff, Debuff",Ice,,Dark,,,,,Fire,Ultimate,"+3 TEC, +2 VIT, +1 LCK",Lord of Flies – Grants +1 to one Combat Skill of your choice at the start of your turn for each other unit suffering from Status effects. This increase stacks with Buff effects and lasts for the duration of your turn.  ,"Infestation (Status): 1 target within 2 meters suffers the Nerve Status Infested: -1 STR, -1 MAG. Recovery chance: 25%. If you fail the recovery test, lose 25% of your maximum HP. 
Breed (Status): 1 Infested target. On hit: TECd12 (91) Dark damage. Target is healed from Infested and gains Resist Status for 3 turns. 1 Swarm of Flies spawns adjacent to the target, with the same initiative as the target. 
Guide the Swarm: 1 target Beelzebub can see. On hit: 25 Almighty damage for each Swarm of Flies present in combat. 
Fester (Buff): Beelzebub can sacrifice 10% of its current HP to immediately add 1 Swarm of Flies to combat.  ","Endless Pestilence (P): The first Buff or Debuff skill Beelzebub casts each round is considered a Quick action. 
Surrounded by Filth (P): Gains +1 TEC, +1 AGI for each target suffering from any Status in combat, including Beelzebub. ",Devilish,"Phalanx (Shield, Special)",1,1,14,3,13,4,C-293,FALSE
Helel,20,Star,"Fire, Dark, Buff",,,"Physical, Dark",,,,,Ice,Ultimate,"+2 MAG, +2 TEC, +4 Courage, +4 Charm","Devour the Light – When a Light spell is cast against you, heal the amount of HP you would have lost and deal the same amount of damage as Almighty damage against the caster.  ","Ragnarök: Any number of targets. On hit: 9d8 (40/54) Fire damage. Helel can sacrifice 10% of his maximum HP to deal +MAG (9/12) Fire damage. 
Devil’s Decree: Kill any target whose HP is below 90% and lower than Helel’s. ","Instant Cure (P): Heals from all Status effects at the end of its turn. 
Rebellion’s Cry (P): At the start of combat, grants +3 MAG, +3 TEC to Helel for the first 4 rounds of combat.  ","Flirty, Devilish",Megidolaon (T6 Almighty),1,9,8,6,9,2,C-297,FALSE
Shiva,20,Tower,"Physical, Wind, Heal",,Thunder,"Ice, Nuclear, Light, Dark",,,,,Status,Ultimate,"+1 STR, +1 MAG, +1 TEC, +1 AGI, +1 VIT, +1 LCK","Boundless Universe – Spend 1 Aspect Point to gain a second turn, once per round. ","Critical Charge (Misc.): Shiva’s next attack is a guaranteed critical hit. 
Rudra (Wind): Any number of targets Shiva can see. HDC +2. On hit: 8d6+9 (37) Wind damage. 
Nandi (Physical): All targets between Shiva and a point within 8 meters. On hit: 9d8 (40) Physical damage. Critical: +2STR (18) Wind damage. 
Mediaraja: Heals (9d10) * 3 (150) of Shiva’s HP and all of its allies. This spell can only be cast once every three rounds. ","Endless Creation (P): Shiva has two consecutive turns per round. 
Vishakanta (P): Shiva cannot be Poisoned. 
Reincarnated King (P): At the start of combat, Shiva summons Parvati (Lv. 15), Ganesha (Lv. 13) and Hanuman (Lv. 10). Their initiative scores are equal to Shiva’s - 1, -2 and -3 respectively. ",Aggressive,"Armor of Light (Armor, Special) ",9,8,6,4,6,2,C-295,FALSE
Sandalphon,20,Moon,"Light, Heal",,"Light, PSY",Dark,"Physical, Gun",,,,,Ultimate,"+1 MAG, +3 TEC, +1 AGI, +1 VIT",Gigantic Sentinel – No effects can lower your TEC. Enemies who start their turn adjacent to your position have their Movement Allowance decreased to 1 for the duration of their turn.  ,"Samsara: Any number of targets. Deals 20+2TEC% (30%) of the target’s current HP as Light damage. 
Shining Bow: 1 target Sandalphon can see. On hit: 8d10 (52) Light damage. Heals Sandalphon for the same amount of damage dealt. ","Paths of Light (P): Restores 25% of any number of targets Sandalphon becomes adjacent to during its movement. 
Master of Heavenly Songs (P): At the start of each of its turns, Sandalphon has a 50% chance to summon a Sraosha (Lv. 19) if there are less than two Sraosha currently in combat.  ","Noble, Snobbish",Banishment (T5 Light),1,8,10,7,7,2,C-296,FALSE
Kanna & Thanatos-α - LV20,20,--,"Thunder, Nuclear, Dark",,,,"Physical, Light, Dark",,,,,User,,"Facsimile – Kanna has Hetelic Resistances, but no access to Hetelic Actions. Kanna starts each combat with four Aspect Points. When Kanna enters combat, choose one of her Levels and use the appropriate Combat Skills and spells. ","Universal Aspect: As an Interrupt action, Kanna can spend 1 Aspect Point to immediately gain a second turn, once per Round. 
Negotiate: Kanna can start negotiation with any User she can see as a Standard action. Consider all her Skill Tiers as 6 for this negotiation. On a success, the target loses up to 1d4 Aspect Points and Kanna gains the amount lost. 
Arcana-Touched: Starting from Level 10, Kanna can spend 2 Aspect Points to activate any Arcana Spread currently available to the party as a standard action. This spends the use of that Arcana for the party.
Cursed Zio: One target within 8 meters. On hit: MAGd12+MAG (68) Thunder damage. At the start of Kanna’s next turn, for no action cost: Burst: 2MAG (20) Thunder damage. 
Hysteric Haeiha: Up to 3 targets within 6 meters. On hit: MAGd12 (55) Dark damage and 30% Shocked chance. 
Echoing Reset: This spell is only available if Kanna is Level 10 or higher. Removes all Buff effects from any number of Users, and all Debuff effects from Kanna. 
Mass Destruction: This spell is only available if Kanna is Level 15 or higher. All combatants except Kanna. On hit: MAGdd8 (45) Nuclear damage. Every time this spell is cast, increase its damage dice category by 1 for all subsequent casts (Max. d12)",,,,6,10,9,7,7,2,SSIV-9,FALSE
Maria,20,Aeon,"PSY, Light","Light, Dark",,Wind,Thunder,,,,,Ultimate,"+8 Empathy, +4 Charm, +4 Expression, +1 TEC, +1 VIT","Immaculate Procession – You are immune to damage that designates “an adjacent target” or units within range of the original target if you are not the primary target of the attack. Whenever an ally moves, you may move to a position adjacent to theirs, outside of your turn, for no action cost, once per round. ","Candida Rosa: Any number of targets within 10 meters. Hit: 10d8+5 (50) Light damage, plus 20 Light damage to all units adjacent to the Altar of Radiance. 
Primum Mobile: One target within 10 meters. On hit: TECd12+TEC (85) PSY damage. If this attack places the target in Death’s Door, select one other target within 6 meters of the Altar of Radiance: The second target also enters Death’s Door.  ","Ideal Space (P): As a quick action, Maria can choose one cognitive object, such as those created by Intel spells, Zeniths of Radiance, etc, and deal 10d10 (50) Light damage to all targets within 3 meters of this object (this checks for dodge). 
Penitent Altar (P): At the start of combat, Maria creates an Altar of Radiance in one empty space she can see, being able to move it up to 10 meters in any direction during her turn as a Quick action. This is considered a cognitive object for the purposes of Ideal Space. 
Heavenly Vanguard (P): At the start of combat, Maria summons Terminator (Level 17), Throne (Level 17), and Dominion (Level 16) into combat. These Shadows’ initiatives are equal to Maria’s. ",," Kakkhara (Polearm, Special) ",1,1,20,1,10,2,C-291,FALSE
Attis,20,Hanged Man,"Fire, Heal, Buff",,Wind,Fire,,,,,Dark,Ultimate,"+3 MAG, +2 TEC, +1 VIT",Immaculate Rebirth – Consider your VIT and all your allies’ VIT scores as +2 for Death’s Door checks (Max. 11) ,"Pyriphlegton: 1 target within 10 meters. On hit: 12d12 (78) Fire damage. 
Fascination (Buff): The user with the biggest Charm score in combat. For each 5 points of Charm the target has, Attis gains +1 MAG, +1 AGI, +1 LCK for 3 rounds. 
Sacrifice (Heal): Upon dying, Attis heals all Cybele in combat to 100% HP and removes all Status effects from combat.  ","Heroic Wind (P): At the start of each round, Attis and all its allies heal 10% of their maximum HP. 
Transcendent Attraction (P): At the start of combat, Attis summons two Cybele (Lv. 18) with the same initiative value as the character with the highest initiative. ","Friendly, Noble","Bead Chain (Consumable, Special)",1,12,6,6,8,2,C-300,FALSE
Messiah,20,Judgement,"Fire, Almighty",,,,"Fire, Ice, Wind, Thunder, Nuclear, PSY",,,,,"Tyrant, Icon","+3 MAG, +2 TEC, +1 VIT","The Realm of Possibility (Any two Types) - Once per session, you can spend 4 Aspect Points: You regain the use of one Arcana Spread spent during this session, for no action cost. ","Newfound Power: Can only be cast through the effect of The Card Within One's Dream. Does not check to hit. Deals MAG (15) Fire or Almighty damage (Narrator's choice) 
The New Beginning: One target Messiah can see. On hit: MAGd12+MAG (112) Fire damage and grant Messiah one Link Counter. 
The Absolute End: One target Messiah can see. +1 HDC. On hit: MAGd12 (97) Almighty damage. ","Oratorio (P): When Messiah would be slain by any source, restore its HP and the HP of all Shadows in combat to 100%, revive all Shadows slain during this combat with 100% HP, and remove all Link Counters from Messiah. This can only trigger once per combat. 
The Card Within One's Dream (P): At the start of each round, for no action cost, Messiah can cast Newfound Power a number of times equal to the number of Link Counters on Messiah. ",,"Divine Pillar (Special Accessory, Sea of Souls III)",1,15,9,5,6,2,SSV-25,FALSE
Kohryu,20,Heirophant,"Light, Heal",,PSY,"Status, Intel",,,,,,Ultimate,"+3 TEC, +2 VIT, +1 LCK",Core of the Four Beasts – Consider your Knowledge Tier as VII for questions regarding astrology and astronomy. You can precisely pinpoint your geographical location as long as you can see the sky.  ,"Immortal Dragon (Heal): If Kohryu dies before the start of its next round after casting this spell, it’s restored to 50% HP instead. If this spell is not triggered, Repress it. 
Samsara (Light): Any number of targets. Deals 20+TEC% (35%) of targets’ current HP as Light damage. 
Divine Punishment (Light): 1 target. Deals 50+2TEC% (80%) of the target’s current HP as Light damage. 
Tü: All targets who are touching the ground take 6d12+1 (40) Almighty damage, no dodge check.  ","Dragon’s Cry (P): Kohryu is always the first combatant in the initiative queue. 
Colossus (P): Kohryu occupies 4 spaces instead of one, DDC -1, and can fly.  ",Noble,Samsara (T5 Light),2,6,15,3,7,4,C-302,FALSE
Messiah Picaro,20,Judgement,"Fire, Almighty",,,,"Fire, Ice, Wind, Thunder, Nuclear, PSY",,,,,Shadow,"+3 MAG, +2 TEC, +1 VIT","Joy and Wonder (Any two non-Damage Types) – This is treated as both a Rumor Skill and an Icon Shadow’s Natural Skill. [No action cost, spend 1 Aspect Point]: When you deal the killing blow against a Shadow, or trigger a Negotiation result that removes a Shadow from combat: Every User currently in combat can trigger effects that require a target to be slain by a specific User, such as Receptive Cognition, as if they were the User who's slain the target Shadow. Other Users don't have to fulfill the Type requirements of Joy and Wonder to trigger its effect as a Rumor Skill. Each User can only trigger the effect of Joy and Wonder once per combat. ","Ultimate Rebel’s Soul: Spend two Link Counters: Messiah Picaro gains an extra turn every round until the end of combat.
Newfound Power: Can only be cast through the effect of The Card Within One's Dream. Does not check to hit. Deals MAG (15) Fire or Almighty damage (Narrator's choice)
The New Beginning: One target Messiah can see. On hit: MAGd12+MAG (112) Fire damage and grant Messiah one Link Counter.
The Absolute End: One target Messiah can see. +1 HDC. On hit: MAGd12 (97) Almighty damage.","Oratorio (P): When Messiah would be slain by any source, restore its HP and the HP of all Shadows in combat to 100%, revive all Shadows slain during this combat with 100% HP, and remove all Link Counters from Messiah. This can only trigger once per combat. 
The Card Within One's Dream (P): At the start of each round, for no action cost, Messiah can cast Newfound Power a number of times equal to the number of Link Counters on Messiah. ",,Plume of Dawn (T5 Heal),1,15,9,5,6,2,SSVIII-24,FALSE
Metatron,20,Justice,"Light, Intel",Light,Wind,,Physical,,,,Intel,"Ultimate, Tyrant","+3 TEC, +2 AGI, +1 VIT","Mouthpiece of God – Instead of rolling initiative, you can choose the spot of all combatants within the initiative queue.  ","Eternal Punishment: One target Metatron can see loses 50+3TEC% (92%) of its current HP, Light damage. 
Manmaon (Light): Any number of targets Metatron can see loses 10+3TEC% (52%) of their current HP. After taking damage, each target has a 10% chance to die instantly. 
Guiding Hand: Metatron may use its Interrupt action to force a target to reroll a dodge check. 
Fall from Grace: Any number of targets suffers DDC-1 until the end of Metatron’s next turn and suffer a 20+5TEC% (90%) chance of Fearful. 
Fire of Sinai: All combatants except Metatron. Does not check for dodge. Deals 30 Almighty damage, and this damage cannot be reduced by any effects.  ","Infinite Incandescence (P): All Light spells cast during combat lose their upper cap. 
Terrifying Projection+ (P): All targets that become adjacent to Metatron have a 15+5TEC% (85%) chance of Fearful. 
Hate the Sinner (P): If a Light spell cast by Metatron is Reflected, Metatron’s next spell gains the following effect: This spell deals damage based on the target’s maximum HP instead of its current value.  ","Noble, Aggressive","Megido Fire (Firearm, Special)",1,1,14,8,8,4,C-308,FALSE
Nyarlathotep-α,20,--,,,,,,,,,,"Alpha, Shadow",,"Every Darkness - Nyarlathotep-α has three full turns per round and cannot be targeted normally. Rather, when you declare an attack against it, choose one body part: Head, Left Arm, Right Arm, Torso, Left Leg, or Right Leg. Each body part has 100 HP and individual resistances. When a body part is reduced to 0 HP, it can no longer be healed and Nyarlathotep-α can no longer cast the spell associated with it. Nyarlathotep-α has Hetelic Resistances, but its damage resistance is 40 for Nyarlathotep-α, or 60 in case of a Critical Hit or Weakness, instead of its default value. All body parts take half damage from spells without the Mono category. ",Look up Body Parts to see the moves of each one,,,,8,8,8,8,8,8,SSIV-27,FALSE
Nyarlathotep-α - Head,20,--,,,,,"Physical, Gun, Fire, Ice, Wind, Thunder, Nuclear, PSY, Light, Dark, Status, Intel",,,,,Part,,,"Despairing Dream: Any number of targets in combat suffer the following effect: For the next instance of rolled damage they take, also reduce their Energy by 1 of the same dice category used to roll that damage. This is an Intel effect, and Energy damage received by this effect follows Intel resistances and weaknesses.  ",,,,,,,,,,SSIV-28,FALSE
Nyarlathotep-α - Left Arm,20,--,,,Fire,,,,,,Ice,Part,,,Reminiscence Wave: Up to 3 targets Nyarlathotep-α can see. On hit: MAGd10+2MAG (60) Fire damage. This attack deals a guaranteed Critical Hit (which does not spend Luck Charges) against User Classes who can summon more than one Persona.  ,,,,,,,,,,SSIV-28,FALSE
Nyarlathotep-α - Left Leg,20,--,,Wind,,,,,,,Thunder,Part,,,"Asteroid Bomb: One target in combat. On hit: STRd12+2VIT (68) Physical damage, target loses 1d6 Energy and Nyarlathotep-α gains a permanent boost to its Combat Skills equal to the Energy lost (amount given to each Skill distributed as the Narrator sees fit). This is not a Buff effect.  ",,,,,,,,,,SSIV-28,FALSE
Nyarlathotep-α - Right Arm,20,--,,,,PSY,,,,,Nuclear,Part,,,"Delusion Channeling: Up to 3 targets Nyarlathotep-α can see. On hit: TECd10+2STR (60) PSY damage. Against User Classes who cannot naturally manifest more than one Persona, this spell has the added effect: ""The target cannot recover HP by any means outside of Revive effects until the end of the next round"".  ",,,,,,,,,,SSIV-28,FALSE
Nyarlathotep-α - Right Leg,20,--,,Dark,,,,,,,Light,Part,,,"Dark Verdict: One target in combat. On hit: Target loses 50% of its maximum HP as Dark damage. Additionally, until the end of this round, every time that target takes damage, they suffer a Debuff of -2 to STR, MAG, TEC and VIT. This stacks with previous activations of itself and lasts for 3 rounds.  ",,,,,,,,,,SSIV-28,FALSE
Nyarlathotep-α - Torso,20,--,,,Physical,,,,,,Gun,Part,,,"Wailing Wretch: Restore 50 HP to all body parts. This is a Heal Type effect. ",,,,,,,,,,SSIV-28,FALSE
"Nyarlathotep, the Crawling Chaos",20,World,,Light,Dark,Status,"Physical, PSY",,,,,Tyrant,,"Chaos of a Thousand Faces – Whenever a Status spell targets Nyarlathotep, apply that Status effect to all Users. All of Nyarlathotep’s attacks treat Reflect as Resist and ignore Users’ Damage Reduction values from gear. Nyarlathotep’s Status immunity extends to the Analyzed condition. ","Wheel of Fortune: Any number of targets. HDC -1. On hit: target is unable to change Personae or activate Class features for 2d8 rounds. 
Wheel of Time: Any number of targets. On hit: MAGdX Almighty damage. The first time this spell is cast, use a d6 to calculate damage. Increase the dice category of this attack by one before calculating damage on each cast after that (max d12). 
Despairing Dream: The next time Nyarlathotep casts Wheel of Time, it gains this additional effect: On hit: reduce the target’s Energy by 1dx, using the same dice used to calculate damage. 
Transient Ripple (Almighty): Any number of targets have all their Buff, Defense, and Charge effects removed. ",,,,1,10,9,6,10,2,SSI-28,FALSE
Satan,20,Judgement,"Fire, Ice, Thunder",,"Ice, Dark, PSY",,Gun,,,,,Ultimate,"+3 MAG, +1 TEC, +1 AGI, +1 VIT","Lake of Tears – At the end of each combat, if your HP is above 0, you may spend 5 Energy to heal 100% of your HP.  ","Titanomachia: Any number of targets Satan can see. On hit: 14d6 (49) Fire damage and 35+5TEC% (70%) Fearful chance. 
Hell Has Frozen Over: 1 target within 10 meters. On hit: 14d12 (91) Ice damage. Until the end of Satan’s next turn, that target loses all elemental interactions and damage resistance. 
Thunder Reign: 1 target within 10 meters. On hit: 14d12 (91) Thunder damage and 100% Shocked chance. ","Regenerate (P): Heals VITd6 (21) HP at the start of each turn.
Energize (P): At the start of each of its turns, restores all of Satan’s Combat Skills to their default values and removes all Status effects from Satan.
Rebel Soul (P): Deals 30% extra damage against targets whose current HP is higher than Satan’s. ","Devilish, Noble",Black Viper (T6 Almighty) ,1,14,6,6,6,2,C-305,FALSE
Satanatel,20,Fool,"Physical, Dark","Wind, Thunder",,,,,,,,Ultimate,"+2 STR, +2 TEC, +1 AGI, +4 Courage","Lord of Rebellion – Once per session, you may spend 1 Aspect Point to alter the Interactions to the Type of the next attack that targets one adjacent target: Resist, Null and Reflect become Weak, Weakness becomes Reflect, and Drain becomes Resist. ","Sinful Shell: Any number of targets. On hit: STRd6 (38) Physical damage and 30% Fearful chance. 
Haeigaon: Up to 3 targets within 6 meters. On hit: TECd8 (49) Dark damage. 
Reject Order (Misc.): Satanael chooses 1 target it can see and 1 Type. As long as Satanael can see the target, the target has Weakness and -1 DDC for all incoming attacks of that Type.  ","Victory Cry (P): At the start of each of its turns, Satanael is healed of all Status and Debuff effects. 
Survival Trick (P): As long as Satanael is above 1 HP, any attack that would kill it reduces it to 1 HP instead, including Death Category Spells. ","Chaotic, Devilish","Scorpio’s Hook (Whip, 8 RP) ",11,1,11,5,4,4,C-303,FALSE
YHVH-α,20,Judgement,"Fire, Ice, Wind",,,,"Physical, Fire, Ice, Wind, Nuclear",,,,,Alpha,"+2 MAG, +2 TEC, +2 VIT","Smirk – If you hit a target's Weakness, you gain the following effect until the end of the next turn: You can roll Critical Hits without spending Luck Charges. ","Inferno of God: One target YHVH-α can see. On hit: 11d12 (71) Fire damage. Regardless of the result of the previous hit check: At the start of the target's turn, roll dodge against this attack again. On hit: 11d12 (71) Fire damage. 
Hailstorm of God: One target YHVH-α can see. On hit: 11d12 (71) Ice damage. If the target does not Resist this damage, YHVH-α can cast this spell again against another target as a Free action. 
Lightning of God: One target YHVH-α can see. Target has 100% chance to suffer Shocked (before rolling for hit). On hit: 11d12 (71) Thunder damage. If the target does not Resist this damage, YHVH-α chooses another target as a Free action: That target has 100% chance to suffer Shocked. 
Tornado of God: Any number targets YHVH-α can see. This attack does not check for dodge. Deals 11d10 (60) Wind damage. ",,,"Armor of Light (Armor, Special)",1,11,11,1,11,1,SSIV-20,FALSE
Yurlungur,20,Temperance,"Physical, Ice, Light",Nuclear,,Thunder,Light,,,,Status,Ultimate,"+2 STR, +2 MAG, +2 TEC","Copper Snake – At the start of each combat, grants Resist Fire, Ice, Thunder, Wind, Nuclear or PSY (choose one) to you and all your allies for the first 3 rounds.  ","Sparkling Rain (Light): 1d6 targets Yurlungur can see lose 3TEC% (21%) of their current HP. 
Earthquake: Up to 3 targets within 6 meters. HDC +1. On hit: 9d8 (40) Physical damage and Knockdown. 
Blizzard: Any number of targets. On hit: 8d8 (36) Ice damage and 15+5TEC% (50%) Slowed chance. ",Tetra-makara-break (P): Always treats Reflect and Null as Resist.  ,Chaotic,"Sabazios (Glove, Special) ",9,8,7,5,4,2,C-299,FALSE
Zaou-Gongen,20,Strength,"Physical, Fire",,Fire,"Light, Dark",,,,,Thunder,Ultimate,"+3 STR, +2 MAG, +1 TEC",Mountain Emperor – You may cast any Physical spell adding the Realized category. ,"Swords Dance: 1 target within 4 meters. On hit: 10d12+25 (80) Physical damage. If that attack drops the target to 10 or less HP, target enters Death’s Door immediately, with 2 counters. 
Blazing Inferno: Any number of targets. On hit: 8d4 (20) Fire damage -3 STR, -3 MAG, Fortify Physical -12 and Fortify Elements -12 for 3 rounds. ",Immovable Spirit (P): Heals 100% of its HP upon dying for the first time in combat.  ,Aggressive,"Soul Food (Consumable, Special) ",10,8,7,3,4,4,C-301,FALSE
Lucifer,21,World,,,,Dark,"Physical, Gun, Fire, Ice, Wind, Thunder, Nuclear, PSY, Light, Status, Intel",,,,,Tyrant,"+3 MAG, +2 TEC, +1 VIT, +4 Courage",Eternal Suffering – No Shadows besides Lucifer can be killed as long as Lucifer is in combat.,"Sermon of the Seven Suns: Any number of targets. On hit: MAGd6 (49/56/70) damage. 
Frashokereti: Up to 3 targets Lucifer can see. On hit: MAGd8 (63/72/90) damage. 
Antichrist: 1 target within 12 meters. On hit: MAGd12 (91/104/130) damage. 
Escathon: Any number of targets within 5 meters. Instantly kills any number of targets under 5TEC% (30%/40%/60%) HP. This spell can be either Light or Dark Type. 
The Great Flood: All combatants, except Lucifer. On hit: MAGd10 (77/88/110) Almighty damage. Realized: Destroys all obstacles of the scenery within 8 meters of Lucifer, creating a completely level arena, and dispels all Intel effects from combat. This spell can only be cast once every three rounds.  ","Elemental Adept+ (P): Can declare the damage Type of all of his skills during casting. Lucifer can choose the Fire, Ice, Wind, Thunder, Nuclear, PSY, Light or Dark Types. 
Infernal (P): Starts combat under the effects of Tarukajyne, Sukukajyne and Rakukajyne (+4 STR, +4 MAG, +4 TEC, +4 AGI, Fortify Physical +24 and Fortify Elements +24 for 3 rounds.) 
Blade of Pure Evil (P): Lucifer wields Lucifer’s Call, gaining its effects and replacing its basic attack. Lucifer grants this weapon to the Users upon being defeated. 
Fallen Angels (P): Whenever Lucifer’s HP reaches 80%, 60%, 40%, or 20%, add one Ultimate Shadow, chosen by the Narrator, into combat. Its action is placed immediately after the current turn. He Who Is Closest to God – Metatron cannot be placed into battle by this effect.  ",,"Lucifer's Call (Sword, Special)",3,14,6,5,6,4,C-309,FALSE
Lucifrost,21,Fool,,Ice,,"Light, Dark","Physical, Gun, Thunder, Status",,,,,Shadow,"+3 MAG, +3 TEC, +1 AGI",Ice Age – All Users in combat have their natural interaction with Ice changed to Weakness as long as Lucifrost is in combat.  ,"Popsicle: 1 target Lucifrost can see. On hit: 20d12 (130) Ice damage and 100% Slowed chance. 
Double Serve: Up to 2 targets Lucifrost can see. On hit: 20d8 (90) Ice damage and Rakundyne (Fortify Physical -24, Fortify Elements -24, for 3 rounds) 
Achoo! Any number of targets Lucifrost can see. On hit: 20d6 (70) Ice damage and instantly kills targets whose HP is below 25%. (this is considered an Ice, Light, Death Category spell). ","Cool Army (P) – At the start of Lucifrost’s turn, if there are less than six Shadows in combat, Lucifrost summons Black Frosts (Lv. 13) until there are six Shadows in combat. All Black Frosts summoned by this effect have initiative values equal to Lucifrost’s -1.  ","Snobbish, Childish",10x Bufu (T1 Ice),1,20,9,5,10,4,C-310,FALSE
Aeros,--,--,,,,,,,,,,Element,,,,,,,,,,,,,SSII-24,FALSE
Aquans,--,--,,,,,,,,,,Element,,,,,,,,,,,,,SSII-23,FALSE
Erthys,--,--,,,,,,,,,,Element,,,,,,,,,,,,,SSII-23,FALSE
Flaemis,--,--,,,,,,,,,,Element,,,,,,,,,,,,,SSII-24,FALSE
